saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2012,5,372002.99064766767,2756,5,3,2,1948,Armatage,Southwest,5120,0
2007,10,226777.6471150629,2184,4,2,1,1967,St. Anthony West,Northeast,8112,0
2013,2,222404.01165980502,2774,4,2,2.5,1906,Lyndale,Powderhorn,1914,0
2006,4,218386.0488290982,2159,3,1,1.2,1925,Folwell,Camden,5072,0
2013,2,204654.7246680433,1920,3,1,1,1917,Hiawatha,Longfellow,5040,0
2015,9,209517.68857000902,1766,2,1,1.2,1922,Corcoran,Powderhorn,4880,0
2012,11,109819.56246297283,2112,3,2,1.2,1924,Webber - Camden,Camden,4992,0
2014,8,152006.0641792302,2399,2,1,1.2,1906,Bottineau,Northeast,7735,0
2015,12,264589.4658922195,1676,3,1,1.2,1900,King Field,Southwest,6253,0
2007,10,816522.7783354846,2892,3,3,2,1922,Fulton,Southwest,6450,1
2009,8,149468.39146882037,2107,3,1,1.5,1905,Cleveland,Camden,5363,0
2015,11,205811.18155425874,1920,4,2,1,1919,Como,University,5120,0
2008,3,172729.807728346,1536,2,2,1,1922,Longfellow,Longfellow,5040,0
2007,5,542446.0835288143,2748,5,2,1.5,1918,Tangletown,Southwest,6063,1
2013,11,110134.13071337037,2080,5,2,1,1982,Near - North,Near North,8025,0
2013,10,167160.96700888863,1857,3,1,1.5,1900,Harrison,Near North,5040,0
2006,12,493813.5696701133,2980,4,3,2,1928,Northrop,Nokomis,6359,1
2014,9,133538.6247931379,2415,3,2,1.2,1914,Lind - Bohanon,Camden,7706,0
2014,7,235571.701656435,1440,2,1,1.7,1919,Cooper,Longfellow,5160,0
2013,3,152064.68000103324,1353,3,2,1.5,1905,Audubon Park,Northeast,6992,0
2007,1,236865.9860300732,2016,3,1,1.2,1946,Morris Park,Nokomis,5120,0
2012,5,139782.94194033573,2240,3,2,1,1954,Marshall Terrace,Northeast,7991,0
2014,10,290476.8563366045,2440,3,1,1,1957,Seward,Longfellow,5000,0
2015,2,120398.64367601192,1760,4,2,1.2,1957,Willard - Hay,Near North,5658,0
2009,10,294312.0221330291,1892,4,2,1.2,1945,Keewaydin,Nokomis,5120,1
2011,10,433781.06284454244,2300,3,2,2,1929,Lynnhurst,Southwest,7744,1
2011,7,200063.9659264846,2028,2,1,1.5,1922,Hiawatha,Longfellow,3906,0
2005,4,718632.8218895199,3446,4,4,2,1915,Lynnhurst,Southwest,5805,1
2012,4,239614.42839253537,2096,4,2,1.2,1950,Kenny,Southwest,5600,0
2012,6,211991.430221771,2426,4,2,1.2,1919,Powderhorn Park,Powderhorn,4867,1
2011,10,224565.55678059536,2016,3,2,1.2,1948,Wenonah,Nokomis,4960,0
2012,6,174873.18618613362,1559,3,2,1.5,1912,Seward,Longfellow,5160,0
2013,6,216290.6494009336,2078,3,1,1.2,1925,Audubon Park,Northeast,5000,0
2014,7,211580.29793935106,1981,2,2,1.2,1949,Diamond Lake,Nokomis,6423,0
2005,5,351578.1818181818,2966,3,1,1.2,1922,Bancroft,Powderhorn,4837,1
2015,4,234135.21531440766,2288,3,1,1,1977,Sheridan,Northeast,7034,0
2014,1,289286.0494372854,2238,4,2,1.2,1920,Keewaydin,Nokomis,5120,1
